timestamp,humidity,context_humidity,date (Asia/Kolkata)
1694691810526,57.0,{},2023-09-14 17:13:30.526000+05:30
1694691428570,54.0,{},2023-09-14 17:07:08.570000+05:30
1694691048346,52.0,{},2023-09-14 17:00:48.346000+05:30
1694690664569,53.0,{},2023-09-14 16:54:24.569000+05:30
1694690282469,52.0,{},2023-09-14 16:48:02.469000+05:30
1694689900881,52.0,{},2023-09-14 16:41:40.881000+05:30
1694689518806,51.0,{},2023-09-14 16:35:18.806000+05:30
1694689136579,50.0,{},2023-09-14 16:28:56.579000+05:30
1694688755398,50.0,{},2023-09-14 16:22:35.398000+05:30
1694688372523,51.0,{},2023-09-14 16:16:12.523000+05:30
1694687990140,52.0,{},2023-09-14 16:09:50.140000+05:30
1694687608032,52.0,{},2023-09-14 16:03:28.032000+05:30
1694687225972,51.0,{},2023-09-14 15:57:05.972000+05:30
1694686843827,52.0,{},2023-09-14 15:50:43.827000+05:30
1694686461705,52.0,{},2023-09-14 15:44:21.705000+05:30
1694686079999,50.0,{},2023-09-14 15:37:59.999000+05:30
1694685697799,51.0,{},2023-09-14 15:31:37.799000+05:30
1694685315925,50.0,{},2023-09-14 15:25:15.925000+05:30
1694684934219,50.0,{},2023-09-14 15:18:54.219000+05:30
1694684552297,51.0,{},2023-09-14 15:12:32.297000+05:30
1694684170098,50.0,{},2023-09-14 15:06:10.098000+05:30
1694683788095,49.0,{},2023-09-14 14:59:48.095000+05:30
1694683405907,48.0,{},2023-09-14 14:53:25.907000+05:30
1694683023632,48.0,{},2023-09-14 14:47:03.632000+05:30
1694682641320,51.0,{},2023-09-14 14:40:41.320000+05:30
1694682259084,51.0,{},2023-09-14 14:34:19.084000+05:30
1694681876876,50.0,{},2023-09-14 14:27:56.876000+05:30
1694602502922,52.0,{},2023-09-13 16:25:02.922000+05:30
1694602121016,51.0,{},2023-09-13 16:18:41.016000+05:30
1694601739390,51.0,{},2023-09-13 16:12:19.390000+05:30
1694601357366,50.0,{},2023-09-13 16:05:57.366000+05:30
1694600975573,49.0,{},2023-09-13 15:59:35.573000+05:30
1694600593689,47.0,{},2023-09-13 15:53:13.689000+05:30
1694600211914,46.0,{},2023-09-13 15:46:51.914000+05:30
1694599829810,46.0,{},2023-09-13 15:40:29.810000+05:30
1694599447794,44.0,{},2023-09-13 15:34:07.794000+05:30
1694599065855,47.0,{},2023-09-13 15:27:45.855000+05:30
1694598684199,44.0,{},2023-09-13 15:21:24.199000+05:30
