timestamp,pond-temperature,context_pond-temperature,date
1640269525924,22.0,{},2021-12-23 19:55:25.924000+05:30
1640269154572,22.06,{},2021-12-23 19:49:14.572000+05:30
1640268783237,22.13,{},2021-12-23 19:43:03.237000+05:30
1640268411850,22.13,{},2021-12-23 19:36:51.850000+05:30
1640268040475,22.06,{},2021-12-23 19:30:40.475000+05:30
1640267669205,22.06,{},2021-12-23 19:24:29.205000+05:30
1640267297664,22.13,{},2021-12-23 19:18:17.664000+05:30
1640266926265,22.06,{},2021-12-23 19:12:06.265000+05:30
1640266183416,22.19,{},2021-12-23 18:59:43.416000+05:30
1640265811941,22.06,{},2021-12-23 18:53:31.941000+05:30
1640265068955,22.19,{},2021-12-23 18:41:08.955000+05:30
1640264697434,22.13,{},2021-12-23 18:34:57.434000+05:30
1640264325869,22.19,{},2021-12-23 18:28:45.869000+05:30
1640263955935,22.13,{},2021-12-23 18:22:35.935000+05:30
1640263582673,22.25,{},2021-12-23 18:16:22.673000+05:30
1640263211030,22.19,{},2021-12-23 18:10:11.030000+05:30
1640262839511,22.25,{},2021-12-23 18:03:59.511000+05:30
1640262467611,22.19,{},2021-12-23 17:57:47.611000+05:30
1640261724409,22.13,{},2021-12-23 17:45:24.409000+05:30
1640260236308,22.25,{},2021-12-23 17:20:36.308000+05:30
1640259864222,22.38,{},2021-12-23 17:14:24.222000+05:30
1640259492115,22.25,{},2021-12-23 17:08:12.115000+05:30
1640259119951,22.31,{},2021-12-23 17:01:59.951000+05:30
1640258747774,22.31,{},2021-12-23 16:55:47.774000+05:30
1640258375542,22.13,{},2021-12-23 16:49:35.542000+05:30
1640258003303,22.13,{},2021-12-23 16:43:23.303000+05:30
1640257631052,22.13,{},2021-12-23 16:37:11.052000+05:30
1640257258684,22.13,{},2021-12-23 16:30:58.684000+05:30
1640256886370,22.25,{},2021-12-23 16:24:46.370000+05:30
1640256513998,22.25,{},2021-12-23 16:18:33.998000+05:30
1640256141630,22.06,{},2021-12-23 16:12:21.630000+05:30
1640255769234,22.06,{},2021-12-23 16:06:09.234000+05:30
1640255396832,22.06,{},2021-12-23 15:59:56.832000+05:30
1640255024406,21.94,{},2021-12-23 15:53:44.406000+05:30
1640254652023,22.0,{},2021-12-23 15:47:32.023000+05:30
1640253907049,21.94,{},2021-12-23 15:35:07.049000+05:30
1640253534584,21.88,{},2021-12-23 15:28:54.584000+05:30
1640253162110,21.94,{},2021-12-23 15:22:42.110000+05:30
1640252417164,22.0,{},2021-12-23 15:10:17.164000+05:30
1640252044668,21.88,{},2021-12-23 15:04:04.668000+05:30
1640251672119,21.94,{},2021-12-23 14:57:52.119000+05:30
1640251299599,21.81,{},2021-12-23 14:51:39.599000+05:30
1640250927095,21.81,{},2021-12-23 14:45:27.095000+05:30
1640250554706,21.88,{},2021-12-23 14:39:14.706000+05:30
1640250182029,21.75,{},2021-12-23 14:33:02.029000+05:30
1640249809536,21.75,{},2021-12-23 14:26:49.536000+05:30
1640249064515,21.63,{},2021-12-23 14:14:24.515000+05:30
1640248692037,21.69,{},2021-12-23 14:08:12.037000+05:30
1640248319547,21.75,{},2021-12-23 14:01:59.547000+05:30
1640247947110,21.69,{},2021-12-23 13:55:47.110000+05:30
1640247576637,21.75,{},2021-12-23 13:49:36.637000+05:30
1640247202296,21.88,{},2021-12-23 13:43:22.296000+05:30
1640246829893,21.5,{},2021-12-23 13:37:09.893000+05:30
1640246457508,21.5,{},2021-12-23 13:30:57.508000+05:30
