timestamp,current,context_current,date (Asia/Kolkata)
1665123095513,0.86,{},2022-10-07 11:41:35.513000+05:30
1665122971535,0.879,{},2022-10-07 11:39:31.535000+05:30
1665122414246,0.612,{},2022-10-07 11:30:14.246000+05:30
1665122130974,0.632,{},2022-10-07 11:25:30.974000+05:30
1665121857848,0.641,{},2022-10-07 11:20:57.848000+05:30
1665121672211,4.83,{},2022-10-07 11:17:52.211000+05:30
1665121426508,0.657,{},2022-10-07 11:13:46.508000+05:30
1665121363412,0.634,{},2022-10-07 11:12:43.412000+05:30
1665120755815,5.063,{},2022-10-07 11:02:35.815000+05:30
1665120269948,0.506,{},2022-10-07 10:54:29.948000+05:30
1665120125843,0.529,{},2022-10-07 10:52:05.843000+05:30
1665120068105,0.521,{},2022-10-07 10:51:08.105000+05:30
1665119878580,0.561,{},2022-10-07 10:47:58.580000+05:30
1665119507024,0.556,{},2022-10-07 10:41:47.024000+05:30
1665119321324,0.718,{},2022-10-07 10:38:41.324000+05:30
1665119197682,0.75,{},2022-10-07 10:36:37.682000+05:30
1665119135848,0.742,{},2022-10-07 10:35:35.848000+05:30
1665118888574,0.73,{},2022-10-07 10:31:28.574000+05:30
1665118827017,0.734,{},2022-10-07 10:30:27.017000+05:30
1665118331947,0.723,{},2022-10-07 10:22:11.947000+05:30
1665118084391,0.725,{},2022-10-07 10:18:04.391000+05:30
1665118022562,0.745,{},2022-10-07 10:17:02.562000+05:30
1665117960978,0.734,{},2022-10-07 10:16:00.978000+05:30
1665117838026,0.821,{},2022-10-07 10:13:58.026000+05:30
1665117775138,0.84,{},2022-10-07 10:12:55.138000+05:30
1665117713416,0.838,{},2022-10-07 10:11:53.416000+05:30
1665117342165,0.825,{},2022-10-07 10:05:42.165000+05:30
1665117033020,0.783,{},2022-10-07 10:00:33.020000+05:30
1665116971167,0.794,{},2022-10-07 09:59:31.167000+05:30
1665116909326,0.787,{},2022-10-07 09:58:29.326000+05:30
1665116847660,0.812,{},2022-10-07 09:57:27.660000+05:30
1665116794153,0.83,{},2022-10-07 09:56:34.153000+05:30
1665116603193,0.852,{},2022-10-07 09:53:23.193000+05:30
1665116352780,0.847,{},2022-10-07 09:49:12.780000+05:30
1665116167323,0.798,{},2022-10-07 09:46:07.323000+05:30
1665115858016,0.806,{},2022-10-07 09:40:58.016000+05:30
1665115301540,0.808,{},2022-10-07 09:31:41.540000+05:30
1665115177927,0.787,{},2022-10-07 09:29:37.927000+05:30
1665115133224,0.814,{},2022-10-07 09:28:53.224000+05:30
1665114930612,0.827,{},2022-10-07 09:25:30.612000+05:30
1665114745047,0.821,{},2022-10-07 09:22:25.047000+05:30
1665114621269,0.825,{},2022-10-07 09:20:21.269000+05:30
1665114559375,0.823,{},2022-10-07 09:19:19.375000+05:30
1665114435638,0.786,{},2022-10-07 09:17:15.638000+05:30
1665114311921,0.844,{},2022-10-07 09:15:11.921000+05:30
1665114188187,0.863,{},2022-10-07 09:13:08.187000+05:30
1665114002493,0.674,{},2022-10-07 09:10:02.493000+05:30
1665113888302,0.677,{},2022-10-07 09:08:08.302000+05:30
1665113755289,1.012,{},2022-10-07 09:05:55.289000+05:30
1665113569331,1.02,{},2022-10-07 09:02:49.331000+05:30
1665113074664,1.047,{},2022-10-07 08:54:34.664000+05:30
1665112273372,0.911,{},2022-10-07 08:41:13.372000+05:30
1665111908529,0.886,{},2022-10-07 08:35:08.529000+05:30
1665111781096,0.874,{},2022-10-07 08:33:01.096000+05:30
1665111653051,0.667,{},2022-10-07 08:30:53.051000+05:30
1665111593039,0.695,{},2022-10-07 08:29:53.039000+05:30
1665111100439,0.701,{},2022-10-07 08:21:40.439000+05:30
1665110869537,0.71,{},2022-10-07 08:17:49.537000+05:30
1665110800024,0.707,{},2022-10-07 08:16:40.024000+05:30
1665110106983,0.72,{},2022-10-07 08:05:06.983000+05:30
1665109869386,0.736,{},2022-10-07 08:01:09.386000+05:30
1665109692345,0.723,{},2022-10-07 07:58:12.345000+05:30
1665109548754,0.751,{},2022-10-07 07:55:48.754000+05:30
1665108504682,0.879,{},2022-10-07 07:38:24.682000+05:30
1665107260733,0.903,{},2022-10-07 07:17:40.733000+05:30
1665106704184,0.796,{},2022-10-07 07:08:24.184000+05:30
1665105960793,0.458,{},2022-10-07 06:56:00.793000+05:30
1665104936017,0.878,{},2022-10-07 06:38:56.017000+05:30
1665104874136,0.567,{},2022-10-07 06:37:54.136000+05:30
1665104759675,0.533,{},2022-10-07 06:35:59.675000+05:30
1665104626632,4.757,{},2022-10-07 06:33:46.632000+05:30
1665104564736,4.843,{},2022-10-07 06:32:44.736000+05:30
1665104517389,4.876,{},2022-10-07 06:31:57.389000+05:30
1665104455586,4.724,{},2022-10-07 06:30:55.586000+05:30
1665104387490,4.579,{},2022-10-07 06:29:47.490000+05:30
1665104255162,0.481,{},2022-10-07 06:27:35.162000+05:30
1665104081096,0.537,{},2022-10-07 06:24:41.096000+05:30
1665103883688,0.474,{},2022-10-07 06:21:23.688000+05:30
1665103821804,0.478,{},2022-10-07 06:20:21.804000+05:30
1665103698076,0.459,{},2022-10-07 06:18:18.076000+05:30
1665103645412,0.526,{},2022-10-07 06:17:25.412000+05:30
1665103574546,0.521,{},2022-10-07 06:16:14.546000+05:30
1665103450532,0.516,{},2022-10-07 06:14:10.532000+05:30
1665103388615,0.496,{},2022-10-07 06:13:08.615000+05:30
1665103326672,0.459,{},2022-10-07 06:12:06.672000+05:30
1665103264699,0.467,{},2022-10-07 06:11:04.699000+05:30
1665103202782,0.487,{},2022-10-07 06:10:02.782000+05:30
1665103140898,0.463,{},2022-10-07 06:09:00.898000+05:30
1665103079036,0.467,{},2022-10-07 06:07:59.036000+05:30
1665103022950,0.463,{},2022-10-07 06:07:02.950000+05:30
1665102971632,0.482,{},2022-10-07 06:06:11.632000+05:30
1665102893504,0.471,{},2022-10-07 06:04:53.504000+05:30
1665097265600,0.608,{},2022-10-07 04:31:05.600000+05:30
1665097203775,0.605,{},2022-10-07 04:30:03.775000+05:30
1665097141966,0.626,{},2022-10-07 04:29:01.966000+05:30
1665097080099,0.622,{},2022-10-07 04:28:00.099000+05:30
1665097018179,0.622,{},2022-10-07 04:26:58.179000+05:30
1665096956281,0.632,{},2022-10-07 04:25:56.281000+05:30
1665096894392,0.482,{},2022-10-07 04:24:54.392000+05:30
1665096832494,0.486,{},2022-10-07 04:23:52.494000+05:30
1665096770608,0.486,{},2022-10-07 04:22:50.608000+05:30
1665096708755,0.485,{},2022-10-07 04:21:48.755000+05:30
1665096646857,0.491,{},2022-10-07 04:20:46.857000+05:30
1665096584973,0.485,{},2022-10-07 04:19:44.973000+05:30
1665096523104,0.496,{},2022-10-07 04:18:43.104000+05:30
1665096461246,0.482,{},2022-10-07 04:17:41.246000+05:30
1665096399406,0.482,{},2022-10-07 04:16:39.406000+05:30
1665096339353,0.478,{},2022-10-07 04:15:39.353000+05:30
1665096279367,0.485,{},2022-10-07 04:14:39.367000+05:30
1665096213862,0.482,{},2022-10-07 04:13:33.862000+05:30
1665096151994,0.48,{},2022-10-07 04:12:31.994000+05:30
1665096090090,0.485,{},2022-10-07 04:11:30.090000+05:30
1665096028156,0.48,{},2022-10-07 04:10:28.156000+05:30
1665095966202,0.482,{},2022-10-07 04:09:26.202000+05:30
1665095904247,0.484,{},2022-10-07 04:08:24.247000+05:30
1665095842292,0.484,{},2022-10-07 04:07:22.292000+05:30
1665095780340,0.482,{},2022-10-07 04:06:20.340000+05:30
1665095718409,0.479,{},2022-10-07 04:05:18.409000+05:30
1665095656504,0.474,{},2022-10-07 04:04:16.504000+05:30
1665095594639,0.483,{},2022-10-07 04:03:14.639000+05:30
1665095532791,0.487,{},2022-10-07 04:02:12.791000+05:30
1665095470952,0.483,{},2022-10-07 04:01:10.952000+05:30
1665095409145,0.488,{},2022-10-07 04:00:09.145000+05:30
1665095347298,0.484,{},2022-10-07 03:59:07.298000+05:30
1665095285459,0.487,{},2022-10-07 03:58:05.459000+05:30
1665095223593,0.482,{},2022-10-07 03:57:03.593000+05:30
1665095161713,0.495,{},2022-10-07 03:56:01.713000+05:30
1665095099825,0.478,{},2022-10-07 03:54:59.825000+05:30
1665095037917,0.489,{},2022-10-07 03:53:57.917000+05:30
1665094975990,0.488,{},2022-10-07 03:52:55.990000+05:30
1665094914071,0.478,{},2022-10-07 03:51:54.071000+05:30
1665094880525,0.484,{},2022-10-07 03:51:20.525000+05:30
1665094790267,0.475,{},2022-10-07 03:49:50.267000+05:30
1665094728379,0.491,{},2022-10-07 03:48:48.379000+05:30
1665094666513,0.488,{},2022-10-07 03:47:46.513000+05:30
1665094604673,0.489,{},2022-10-07 03:46:44.673000+05:30
1665094542846,0.485,{},2022-10-07 03:45:42.846000+05:30
1665094481017,0.485,{},2022-10-07 03:44:41.017000+05:30
1665094419185,0.464,{},2022-10-07 03:43:39.185000+05:30
1665094357383,0.481,{},2022-10-07 03:42:37.383000+05:30
1665094295522,0.491,{},2022-10-07 03:41:35.522000+05:30
1665094233689,0.475,{},2022-10-07 03:40:33.689000+05:30
1665094171827,0.499,{},2022-10-07 03:39:31.827000+05:30
1665094109940,0.481,{},2022-10-07 03:38:29.940000+05:30
1665094048041,0.5,{},2022-10-07 03:37:28.041000+05:30
1665093987091,0.49,{},2022-10-07 03:36:27.091000+05:30
1665093924219,0.489,{},2022-10-07 03:35:24.219000+05:30
1665093862317,0.596,{},2022-10-07 03:34:22.317000+05:30
1665093800444,0.596,{},2022-10-07 03:33:20.444000+05:30
1665093738519,0.608,{},2022-10-07 03:32:18.519000+05:30
1665093676675,0.592,{},2022-10-07 03:31:16.675000+05:30
1665093614791,0.605,{},2022-10-07 03:30:14.791000+05:30
1665093552948,0.604,{},2022-10-07 03:29:12.948000+05:30
1665093491114,0.604,{},2022-10-07 03:28:11.114000+05:30
1665093429221,0.604,{},2022-10-07 03:27:09.221000+05:30
1665093367323,0.601,{},2022-10-07 03:26:07.323000+05:30
1665093305432,0.605,{},2022-10-07 03:25:05.432000+05:30
1665093243559,0.598,{},2022-10-07 03:24:03.559000+05:30
1665093181645,0.581,{},2022-10-07 03:23:01.645000+05:30
1665093119689,0.606,{},2022-10-07 03:21:59.689000+05:30
1665093057780,0.605,{},2022-10-07 03:20:57.780000+05:30
1665092995818,0.599,{},2022-10-07 03:19:55.818000+05:30
1665092933880,0.596,{},2022-10-07 03:18:53.880000+05:30
1665092748039,0.611,{},2022-10-07 03:15:48.039000+05:30
1665092686142,0.61,{},2022-10-07 03:14:46.142000+05:30
1665092624236,0.606,{},2022-10-07 03:13:44.236000+05:30
1665092562350,0.605,{},2022-10-07 03:12:42.350000+05:30
1665092500461,0.608,{},2022-10-07 03:11:40.461000+05:30
1665092438587,0.62,{},2022-10-07 03:10:38.587000+05:30
1665092376699,0.607,{},2022-10-07 03:09:36.699000+05:30
1665092314813,0.603,{},2022-10-07 03:08:34.813000+05:30
