timestamp,temperature,context_temperature,date (Asia/Kolkata)
1694584183609,31.0,{},2023-09-13 11:19:43.609000+05:30
1694583802635,31.1,{},2023-09-13 11:13:22.635000+05:30
1694583421592,31.200001,{},2023-09-13 11:07:01.592000+05:30
1694583040258,31.200001,{},2023-09-13 11:00:40.258000+05:30
1694582659562,31.0,{},2023-09-13 10:54:19.562000+05:30
1694582277540,30.5,{},2023-09-13 10:47:57.540000+05:30
1694581515339,30.4,{},2023-09-13 10:35:15.339000+05:30
1694581134215,30.4,{},2023-09-13 10:28:54.215000+05:30
1694580753063,30.6,{},2023-09-13 10:22:33.063000+05:30
1694580371512,30.799999,{},2023-09-13 10:16:11.512000+05:30
1694579990027,30.200001,{},2023-09-13 10:09:50.027000+05:30
1694578846433,0.0,{},2023-09-13 09:50:46.433000+05:30
1694541534960,28.1,{},2023-09-12 23:28:54.960000+05:30
1694540391740,28.6,{},2023-09-12 23:09:51.740000+05:30
1694535819208,28.700001,{},2023-09-12 21:53:39.208000+05:30
1694535438185,28.9,{},2023-09-12 21:47:18.185000+05:30
1694534676293,29.0,{},2023-09-12 21:34:36.293000+05:30
1694534295521,29.0,{},2023-09-12 21:28:15.521000+05:30
1694533914523,29.1,{},2023-09-12 21:21:54.523000+05:30
1694533533626,29.1,{},2023-09-12 21:15:33.626000+05:30
1694533152753,29.1,{},2023-09-12 21:09:12.753000+05:30
1694532771897,29.1,{},2023-09-12 21:02:51.897000+05:30
1694532390944,29.0,{},2023-09-12 20:56:30.944000+05:30
1694532010134,29.1,{},2023-09-12 20:50:10.134000+05:30
1694531629489,29.200001,{},2023-09-12 20:43:49.489000+05:30
1694531248115,29.200001,{},2023-09-12 20:37:28.115000+05:30
1694530867170,29.200001,{},2023-09-12 20:31:07.170000+05:30
1694530486218,29.200001,{},2023-09-12 20:24:46.218000+05:30
1694530105241,29.299999,{},2023-09-12 20:18:25.241000+05:30
1694529724161,29.6,{},2023-09-12 20:12:04.161000+05:30
1694529343164,29.700001,{},2023-09-12 20:05:43.164000+05:30
1694528961837,29.799999,{},2023-09-12 19:59:21.837000+05:30
1694528580829,29.9,{},2023-09-12 19:53:00.829000+05:30
1694528199844,30.0,{},2023-09-12 19:46:39.844000+05:30
1694527818881,30.0,{},2023-09-12 19:40:18.881000+05:30
1694527437669,30.1,{},2023-09-12 19:33:57.669000+05:30
1694527056645,30.200001,{},2023-09-12 19:27:36.645000+05:30
1694526675744,30.299999,{},2023-09-12 19:21:15.744000+05:30
1694526294475,30.4,{},2023-09-12 19:14:54.475000+05:30
1694525913382,30.4,{},2023-09-12 19:08:33.382000+05:30
1694525533053,30.700001,{},2023-09-12 19:02:13.053000+05:30
1694525151451,30.700001,{},2023-09-12 18:55:51.451000+05:30
1694524769523,30.700001,{},2023-09-12 18:49:29.523000+05:30
1694524390138,30.9,{},2023-09-12 18:43:10.138000+05:30
1694524006591,31.0,{},2023-09-12 18:36:46.591000+05:30
1694523625370,31.200001,{},2023-09-12 18:30:25.370000+05:30
1694523243757,31.299999,{},2023-09-12 18:24:03.757000+05:30
1694522862463,31.4,{},2023-09-12 18:17:42.463000+05:30
1694522481262,31.4,{},2023-09-12 18:11:21.262000+05:30
1694522100004,31.200001,{},2023-09-12 18:05:00.004000+05:30
1694521718817,30.9,{},2023-09-12 17:58:38.817000+05:30
1694513867280,33.0,{},2023-09-12 15:47:47.280000+05:30
1694513485981,0.0,{},2023-09-12 15:41:25.981000+05:30
1694513104529,33.400002,{},2023-09-12 15:35:04.529000+05:30
1694512723060,33.599998,{},2023-09-12 15:28:43.060000+05:30
1694512341614,33.599998,{},2023-09-12 15:22:21.614000+05:30
1694508907116,35.5,{},2023-09-12 14:25:07.116000+05:30
1694508525437,35.0,{},2023-09-12 14:18:45.437000+05:30
1694508143792,34.900002,{},2023-09-12 14:12:23.792000+05:30
1694507762167,34.700001,{},2023-09-12 14:06:02.167000+05:30
1694507380566,34.200001,{},2023-09-12 13:59:40.566000+05:30
1694506999074,33.799999,{},2023-09-12 13:53:19.074000+05:30
1694506617639,33.900002,{},2023-09-12 13:46:57.639000+05:30
1694503567150,33.700001,{},2023-09-12 12:56:07.150000+05:30
1694503184553,33.700001,{},2023-09-12 12:49:44.553000+05:30
1694496712512,32.599998,{},2023-09-12 11:01:52.512000+05:30
1694496330868,32.299999,{},2023-09-12 10:55:30.868000+05:30
1694495949687,32.5,{},2023-09-12 10:49:09.687000+05:30
1694495568518,32.700001,{},2023-09-12 10:42:48.518000+05:30
1694494424854,31.700001,{},2023-09-12 10:23:44.854000+05:30
1694494043891,31.700001,{},2023-09-12 10:17:23.891000+05:30
1694493663706,31.4,{},2023-09-12 10:11:03.706000+05:30
1694493281826,0.0,{},2023-09-12 10:04:41.826000+05:30
1694492138956,30.299999,{},2023-09-12 09:45:38.956000+05:30
1694491757936,30.200001,{},2023-09-12 09:39:17.936000+05:30
1694491377072,29.799999,{},2023-09-12 09:32:57.072000+05:30
1694490995985,0.0,{},2023-09-12 09:26:35.985000+05:30
1694448735476,29.6,{},2023-09-11 21:42:15.476000+05:30
1694447972860,29.6,{},2023-09-11 21:29:32.860000+05:30
1694447591245,29.6,{},2023-09-11 21:23:11.245000+05:30
1694447209835,29.5,{},2023-09-11 21:16:49.835000+05:30
1694446828469,29.6,{},2023-09-11 21:10:28.469000+05:30
1694446447222,29.700001,{},2023-09-11 21:04:07.222000+05:30
1694445684984,29.700001,{},2023-09-11 20:51:24.984000+05:30
1694445304223,29.700001,{},2023-09-11 20:45:04.223000+05:30
1694444923614,29.799999,{},2023-09-11 20:38:43.614000+05:30
1694444541092,29.799999,{},2023-09-11 20:32:21.092000+05:30
1694444159611,29.799999,{},2023-09-11 20:25:59.611000+05:30
1694443778338,29.799999,{},2023-09-11 20:19:38.338000+05:30
1694443396980,30.0,{},2023-09-11 20:13:16.980000+05:30
1694443015758,29.9,{},2023-09-11 20:06:55.758000+05:30
1694442634389,30.1,{},2023-09-11 20:00:34.389000+05:30
1694442253141,30.200001,{},2023-09-11 19:54:13.141000+05:30
1694441871774,30.299999,{},2023-09-11 19:47:51.774000+05:30
1694441490520,30.299999,{},2023-09-11 19:41:30.520000+05:30
1694441109242,30.4,{},2023-09-11 19:35:09.242000+05:30
1694440727689,30.6,{},2023-09-11 19:28:47.689000+05:30
1694440346305,30.799999,{},2023-09-11 19:22:26.305000+05:30
1694439964971,30.799999,{},2023-09-11 19:16:04.971000+05:30
1694439583747,30.700001,{},2023-09-11 19:09:43.747000+05:30
1694439202250,31.0,{},2023-09-11 19:03:22.250000+05:30
1694438820922,31.0,{},2023-09-11 18:57:00.922000+05:30
1694438439319,31.1,{},2023-09-11 18:50:39.319000+05:30
1694438058002,31.299999,{},2023-09-11 18:44:18.002000+05:30
1694437676549,31.200001,{},2023-09-11 18:37:56.549000+05:30
1694437295174,31.1,{},2023-09-11 18:31:35.174000+05:30
1694436913809,30.9,{},2023-09-11 18:25:13.809000+05:30
1694436532365,30.4,{},2023-09-11 18:18:52.365000+05:30
1694354851824,28.5,{},2023-09-10 19:37:31.824000+05:30
1694354470793,28.6,{},2023-09-10 19:31:10.793000+05:30
1694354089128,28.700001,{},2023-09-10 19:24:49.128000+05:30
1694353707522,28.700001,{},2023-09-10 19:18:27.522000+05:30
1694353326105,28.799999,{},2023-09-10 19:12:06.105000+05:30
1694352944677,28.9,{},2023-09-10 19:05:44.677000+05:30
1694352563195,28.9,{},2023-09-10 18:59:23.195000+05:30
1694352181710,29.0,{},2023-09-10 18:53:01.710000+05:30
1694351800559,29.0,{},2023-09-10 18:46:40.559000+05:30
1694351419026,29.0,{},2023-09-10 18:40:19.026000+05:30
1694351037282,29.299999,{},2023-09-10 18:33:57.282000+05:30
1694350656156,29.299999,{},2023-09-10 18:27:36.156000+05:30
1694350274322,29.4,{},2023-09-10 18:21:14.322000+05:30
1694349892724,29.299999,{},2023-09-10 18:14:52.724000+05:30
1694349511462,29.6,{},2023-09-10 18:08:31.462000+05:30
1694349129666,29.6,{},2023-09-10 18:02:09.666000+05:30
1694348748439,29.700001,{},2023-09-10 17:55:48.439000+05:30
1694348368360,29.799999,{},2023-09-10 17:49:28.360000+05:30
1694347985018,29.9,{},2023-09-10 17:43:05.018000+05:30
1694347603457,30.0,{},2023-09-10 17:36:43.457000+05:30
1694347223449,30.0,{},2023-09-10 17:30:23.449000+05:30
1694346840378,29.9,{},2023-09-10 17:24:00.378000+05:30
1694346458668,29.9,{},2023-09-10 17:17:38.668000+05:30
1694346085010,30.1,{},2023-09-10 17:11:25.010000+05:30
1694345705304,30.200001,{},2023-09-10 17:05:05.304000+05:30
1694345321713,30.5,{},2023-09-10 16:58:41.713000+05:30
1694344940049,30.700001,{},2023-09-10 16:52:20.049000+05:30
1694344558385,30.700001,{},2023-09-10 16:45:58.385000+05:30
1694344176677,31.0,{},2023-09-10 16:39:36.677000+05:30
1694343794955,31.0,{},2023-09-10 16:33:14.955000+05:30
1694343415134,31.1,{},2023-09-10 16:26:55.134000+05:30
1694343031614,31.1,{},2023-09-10 16:20:31.614000+05:30
1694342649771,31.0,{},2023-09-10 16:14:09.771000+05:30
1694342268110,31.1,{},2023-09-10 16:07:48.110000+05:30
1694341886433,31.200001,{},2023-09-10 16:01:26.433000+05:30
1694341504703,31.299999,{},2023-09-10 15:55:04.703000+05:30
1694341124629,31.700001,{},2023-09-10 15:48:44.629000+05:30
1694340742631,31.9,{},2023-09-10 15:42:22.631000+05:30
1694340359487,32.099998,{},2023-09-10 15:35:59.487000+05:30
1694339977443,32.200001,{},2023-09-10 15:29:37.443000+05:30
1694339595550,32.0,{},2023-09-10 15:23:15.550000+05:30
1694339213721,32.299999,{},2023-09-10 15:16:53.721000+05:30
